Year,Car,Manufacturer,Qualified,EngineSize,EngineSizeLitre,NoCylinders,Distance,AveSpeed,Laps,Fastest Speed,Circuit Design,Deaths
1923,« Sport » ,CHENARD-WALCKER,,2978,3,4,2209.536,92.064,128,107.328,1,0
1924,« Sport » ,BENTLEY,,2995,3,4,2077.34,86.555,120,111.168,1,0
1925,B3-6,LORRAINE-DIETRICH,,3473,3.5,6,2233.982,93.082,129,112.987,1,2
1926,B3-6,LORRAINE-DIETRICH,,3446,3.5,6,2552.414,106.35,147,114.444,1,0
1927,« Sport » ,BENTLEY,,3989,4,4,2369.807,98.74,137,118.142,1,0
1928,« Sport » ,BENTLEY,,4392,4.5,4,2669.272,111.219,154,127.604,1,0
1929,Speed Six ,BENTLEY,,6597,6.5,6,2843.83,118.492,174,133.551,2,0
1930,Speed Six ,BENTLEY,,6597,6.5,6,2930.663,122.111,179,114.362,2,0
1931,8C,ALFA-ROMEO,,2336,2.3,8,3017.654,125.735,184,139.234,2,0
1932,8C,ALFA-ROMEO,,2336,2.3,8,2954.038,123.084,218,142.437,3,0
1933,8C,ALFA-ROMEO,,2336,2.3,8,3144.038,131.001,233,146.386,3,0
1934,8C,ALFA-ROMEO,,2336,2.3,8,2886.938,120.289,213,142.437,3,0
1935,Rapide ,LAGONDA,,4451,4.5,6,3006.797,125.283,222,139.612,3,0
1937,57 G,BUGATTI,,3266,3.3,8,3287.938,136.997,243,155.179,3,2
1938,135 S,DELAHAYE,,3558,3.5,6,3180.94,132.539,235,154.783,3,0
1939,57 C,BUGATTI,,3251,3.3,8,3354.76,139.781,248,155.627,3,0
1949,166 MM,FERRARI,,1995,2,12,3178.299,132.42,235,155.427,3,1
1950,T26 GS,TALBOT-LAGO,,4483,4.5,6,3465.12,144.38,256,165.49,3,0
1951,XK 120 C,JAGUAR,,3441,3.4,6,3611.193,150.466,267,169.356,3,1
1952,300 SL,MERCEDES-BENZ,,2996,3,6,3733.8,155.575,277,173.159,3,0
1953,XK 120 C,JAGUAR,,3441,3.4,6,4088.064,170.336,304,181.642,3,1
1954,375 Plus,FERRARI,,4954,5,12,4061.15,169.215,302,189.139,3,0
1955,Type D ,JAGUAR,,3442,3.4,6,4135.38,172.308,307,196.963,3,84
1956,Type D ,JAGUAR,,3442,3.4,6,4034.929,168.122,300,186.383,4,1
